"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","XC1932CT-ND","ECS-1633-300-BN-TR","XTAL OSC XO 30.0000MHZ CMOS SMD","","1","0","1.63000","1.63"
"2","1","296-ADS1219IPW-ND","ADS1219IPW","IC ADC 24BIT SIGMA-DELTA 16TSSOP","","1","0","9.22000","9.22"
"3","1","CP-002A-ND","PJ-002A","CONN PWR JACK 2X5.5MM SOLDER","","1","0","0.52000","0.52"
"4","1","497-1241-1-ND","LD1117S33CTR","IC REG LINEAR 3.3V 800MA SOT-223","","1","0","0.32000","0.32"
"5","1","497-17666-1-ND","STM32F103C8T6TR","IC MCU 32BIT 64KB FLASH 48LQFP","","1","0","6.08000","6.08"
"6","1","1829-1000-ND","XP1001000-05R","IC MOD DSTNI-EX 25MHZ 256KB","","1","0","51.80000","51.80"
"7","1","1528-2827-ND","4048","CONN HEADER SMD 10POS 1.27MM","","1","0","1.95000","1.95"
"8","1","2073-USB4110-GF-A-1-ND","USB4110-GF-A","CONN RCP USB2.0 TYP C 24P SMD RA","","1","0","1.24000","1.24"
"9","1","1939-2008-ND","WR9HU1800CCP-F(R6B)","AC/DC WALL MOUNT ADAPTER 10V 18W","","1","0","7.76000","7.76"
"10","1","445-MLZ1608M3R3WT000CT-ND","MLZ1608M3R3WT000","FIXED IND 3.3UH 400MA 330MOHM SM","","1","0","0.10000","0.10"
